src_team,src_image,win,team,slot_index,hero,kills,assists,deaths,damage,heal,mitig
blue,blue_2025-11-26_01-28-03.png,1,blue,4,ana,9,9,0,3043,6831,382
blue,blue_2025-11-26_01-28-03.png,0,red,0,junker_queen,15,9,6,10548,3678,4924
blue,blue_2025-11-26_01-28-03.png,0,red,1,cassidy,11,2,5,7385,0,59
blue,blue_2025-11-26_01-28-03.png,0,red,2,sombra,12,3,7,3599,0,0
blue,blue_2025-11-26_01-28-03.png,0,red,3,kiriko,5,9,2,1992,9135,0
blue,blue_2025-11-26_01-28-03.png,0,red,4,illari,5,2,5,3550,7063,0
blue,blue_2025-11-26_01-28-20.png,1,blue,0,doomfist,15,5,4,6583,638,3433
blue,blue_2025-11-26_01-28-20.png,1,blue,1,tracer,7,0,8,3355,0,0
blue,blue_2025-11-26_01-28-20.png,1,blue,2,sojourn,19,0,6,6539,0,0
blue,blue_2025-11-26_01-28-20.png,1,blue,3,zenyatta,15,16,4,5290,5667,0
blue,blue_2025-11-26_01-28-20.png,1,blue,4,ana,19,12,3,4441,3919,373
blue,blue_2025-11-26_01-28-20.png,0,red,0,winston,11,2,7,5710,0,11384
blue,blue_2025-11-26_01-28-20.png,0,red,1,mei,11,1,8,5483,643,2435
blue,blue_2025-11-26_01-28-20.png,0,red,2,junkrat,11,2,8,4340,0,0
blue,blue_2025-11-26_01-28-20.png,0,red,3,ana,4,6,5,4025,5646,228
blue,blue_2025-11-26_01-28-20.png,0,red,4,zenyatta,10,6,8,3876,3227,297
blue,blue_2025-11-26_01-30-04.png,1,blue,0,zarya,23,6,4,8155,0,7694
blue,blue_2025-11-26_01-30-04.png,1,blue,1,sombra,20,6,3,5923,1727,0
blue,blue_2025-11-26_01-30-04.png,1,blue,2,ashe,19,3,3,7536,0,0
blue,blue_2025-11-26_01-30-04.png,1,blue,3,mercy,3,24,3,453,5060,0
blue,blue_2025-11-26_01-30-04.png,1,blue,4,moira,16,5,4,5195,4400,367
blue,blue_2025-11-26_01-30-04.png,0,red,0,reinhardt,18,0,8,5223,0,6384
blue,blue_2025-11-26_01-30-04.png,0,red,1,tracer,10,0,0,3764,0,0
blue,blue_2025-11-26_01-30-04.png,0,red,2,hanzo,3,0,7,4740,374,423
blue,blue_2025-11-26_01-30-04.png,0,red,3,kiriko,6,7,7,2934,5477,0
blue,blue_2025-11-26_01-30-04.png,0,red,4,baptiste,7,0,7,2842,5509,544
blue,blue_2025-11-26_01-30-12.png,1,blue,0,winston,13,3,2,7207,250,13849
blue,blue_2025-11-26_01-30-12.png,1,blue,1,freja,13,1,6,10392,0,0
blue,blue_2025-11-26_01-30-12.png,1,blue,2,tracer,18,3,0,4818,0,0
blue,blue_2025-11-26_01-30-12.png,1,blue,3,mercy,1,19,2,60,6451,0
blue,blue_2025-11-26_01-30-12.png,1,blue,4,illari,23,0,1,12443,5637,0
blue,blue_2025-11-26_01-30-12.png,0,red,0,dva,7,1,7,5752,0,4807
blue,blue_2025-11-26_01-30-12.png,0,red,1,soldier,4,0,0,4181,746,178
blue,blue_2025-11-26_01-30-12.png,0,red,2,cassidy,7,0,5,8187,0,97
blue,blue_2025-11-26_01-30-12.png,0,red,3,zenyatta,2,2,7,1505,7144,0
blue,blue_2025-11-26_01-30-12.png,0,red,4,ana,2,5,6,1383,10218,806
blue,blue_2025-11-26_01-30-20.png,1,blue,0,doomfist,19,2,2,8118,252,3832
blue,blue_2025-11-26_01-30-20.png,1,blue,1,widowmaker,11,3,3,5096,0,0
blue,blue_2025-11-26_01-30-20.png,1,blue,2,cassidy,14,2,4,9152,0,47
blue,blue_2025-11-26_01-30-20.png,1,blue,3,wuyang,9,0,1,5061,5315,235
blue,blue_2025-11-26_01-30-20.png,1,blue,4,lifeweaver,7,10,3,1162,5248,249
blue,blue_2025-11-26_01-30-20.png,0,red,0,dva,9,1,3,7123,0,6023
blue,blue_2025-11-26_01-30-20.png,0,red,1,widowmaker,0,1,10,3631,0,0
blue,blue_2025-11-26_01-30-20.png,0,red,2,genji,4,0,7,5089,0,366
blue,blue_2025-11-26_01-30-20.png,0,red,3,ana,5,5,6,3798,6709,709
blue,blue_2025-11-26_01-30-20.png,0,red,4,mercy,0,0,4,950,8454,0
blue,blue_2025-11-26_01-30-42.png,1,blue,0,winston,10,1,2,5438,301,9667
blue,blue_2025-11-26_01-30-42.png,1,blue,1,widowmaker,7,0,2,5619,0,0
blue,blue_2025-11-26_01-30-42.png,1,blue,2,pharah,15,4,4,8195,0,0
blue,blue_2025-11-26_01-30-42.png,1,blue,3,ana,2,8,2,1998,5157,69
blue,blue_2025-11-26_01-30-42.png,1,blue,4,wuyang,13,0,3,5865,4328,140
blue,blue_2025-11-26_01-30-42.png,0,red,0,dva,11,3,2,5006,0,8921
blue,blue_2025-11-26_01-30-42.png,0,red,1,pharah,0,0,10,4672,0,47
blue,blue_2025-11-26_01-30-42.png,0,red,2,soldier,7,0,10,4053,1318,0
blue,blue_2025-11-26_01-30-42.png,0,red,3,lifeweaver,2,0,7,1645,4800,80
blue,blue_2025-11-26_01-30-42.png,0,red,4,ana,2,5,5,1207,5108,381
blue,blue_2025-11-26_01-31-36.png,1,blue,0,winston,24,7,9,12585,2570,7852
blue,blue_2025-11-26_01-31-36.png,1,blue,1,ashe,25,6,7,17057,0,0
blue,blue_2025-11-26_01-31-36.png,1,blue,2,echo,18,1,7,9835,84,0
blue,blue_2025-11-26_01-31-36.png,1,blue,3,ana,15,15,4,4530,9991,921
blue,blue_2025-11-26_01-31-36.png,1,blue,4,kiriko,21,17,5,8943,6665,0
blue,blue_2025-11-26_01-31-36.png,0,red,0,doomfist,16,3,10,8501,487,4730
blue,blue_2025-11-26_01-31-36.png,0,red,1,reaper,23,0,0,11736,2081,30
blue,blue_2025-11-26_01-31-36.png,0,red,2,soldier,16,2,14,15758,851,0
blue,blue_2025-11-26_01-31-36.png,0,red,3,lifeweaver,7,17,5,1765,12556,265
blue,blue_2025-11-26_01-31-36.png,0,red,4,mercy,3,21,7,157,14261,0
blue,blue_2025-11-26_01-31-45.png,1,blue,0,orisa,11,1,1,7029,1,4001
blue,blue_2025-11-26_01-31-45.png,1,blue,1,widowmaker,13,1,3,2993,0,0
blue,blue_2025-11-26_01-31-45.png,1,blue,2,mei,11,0,2,3567,273,367
blue,blue_2025-11-26_01-31-45.png,1,blue,3,wuyang,7,3,1,2445,4028,400
blue,blue_2025-11-26_01-31-45.png,1,blue,4,ana,6,8,2,798,6008,94
blue,blue_2025-11-26_01-31-45.png,0,red,0,sigma,4,1,3,5038,0,11245
blue,blue_2025-11-26_01-31-45.png,0,red,1,cassidy,5,0,4,6143,0,35
blue,blue_2025-11-26_01-31-45.png,0,red,2,widowmaker,7,0,6,2977,0,0
blue,blue_2025-11-26_01-31-45.png,0,red,3,mercy,0,5,3,0,4171,0
blue,blue_2025-11-26_01-31-45.png,0,red,4,moira,0,0,5,3543,4003,0
blue,blue_2025-11-26_01-31-53.png,1,blue,0,winston,7,5,2,8758,0,14261
blue,blue_2025-11-26_01-31-53.png,1,blue,1,widowmaker,16,5,5,10751,0,0
blue,blue_2025-11-26_01-31-53.png,1,blue,2,bastion,14,5,0,13814,36,563
blue,blue_2025-11-26_01-31-53.png,1,blue,3,ana,5,8,7,2922,6645,254
blue,blue_2025-11-26_01-31-53.png,1,blue,4,zenyatta,5,9,6,4560,8674,0
blue,blue_2025-11-26_01-31-53.png,0,red,0,roadhog,16,0,7,10032,5892,2623
blue,blue_2025-11-26_01-31-53.png,0,red,1,cassidy,13,1,7,9828,0,273
blue,blue_2025-11-26_01-31-53.png,0,red,2,sombra,15,6,4,6505,224,0
blue,blue_2025-11-26_01-31-53.png,0,red,3,juno,4,12,3,2307,13940,0
blue,blue_2025-11-26_01-31-53.png,0,red,4,wuyang,4,0,7,1647,6502,400
blue,blue_2025-11-26_01-31-59.png,1,blue,0,dva,24,8,6,8574,700,7570
blue,blue_2025-11-26_01-31-59.png,1,blue,1,ashe,29,0,7,12243,0,0
blue,blue_2025-11-26_01-31-59.png,1,blue,2,cassidy,29,5,5,9785,0,323
blue,blue_2025-11-26_01-31-59.png,1,blue,3,ana,13,14,10,4555,5655,347
blue,blue_2025-11-26_01-31-59.png,1,blue,4,juno,7,12,6,3690,10411,11
blue,blue_2025-11-26_01-31-59.png,0,red,0,doomfist,1,0,5,1136,0,1202
blue,blue_2025-11-26_01-31-59.png,0,red,1,genji,7,0,10,7343,151,2061
blue,blue_2025-11-26_01-31-59.png,0,red,2,sojourn,12,1,7,8987,156,0
